ward,first,last,website,twitter,photo
29,Chris,Taliaferro,http://www.29thward.com,http://twitter.com/chris29thward,images/alderpeople/29-Chris-Taliaferro.png
48,Harry,Osterman,http://harryosterman.org,http://twitter.com/48ward,images/alderpeople/48-Harry-Osterman.jpg
29,Zerlina,Smith,http://www.vote-zerlina.org/,,images/alderpeople/29-Zerlina-Smith.jpg
29,Brenda,Smith,,,
36,Gilbert,Villegas,http://www.gilbert2015.com,http://twitter.com/gilbert36ward,images/alderpeople/36-Gilbert-Villegas.jpeg
13,Marty,Quinn,http://madigan-quinn.com,,
28,Jason,Ervin,http://aldermanervin.com,http://twitter.com/AldermanErvin,images/alderpeople/28-Jason-Ervin.png
36,Alonso,Zaragoza,http://www.alonsozaragoza.com/,http://twitter.com/alonsoz,images/alderpeople/36-Alonso-Zaragoza.jpg
6,Roderick,Sawyer,http://6thwardchicago.com,http://twitter.com/6thWardChicago,images/alderpeople/6-Roderick-Sawyer.jpeg
43,Michele,Smith,http://ward43.org,,images/alderpeople/43-Michele-Smith.jpg
31,Rey,Suarez,http://ward31.com,,
19,Matt,O'Shea,http://19thwardmobile.com,http://twitter.com/mattoshea19,images/alderpeople/19-Matt-O'Shea.jpeg
45,John,Arena,http://arenafor45.com,http://twitter.com/JohnArena445,images/alderpeople/45-John-Arena.jpeg
41,Mary,O'Connor,http://ward41.com,,
26,Juanita,Irizarry,http://juanita26ward.com,http://twitter.com/Juanita26ward,images/alderpeople/26-Juanita-Irizarry.jpeg
31,Milly,Santiago,http://millysantiago.com/,,
4,Will,Burns,http://aldwillburns.org,http://twitter.com/Ald4_Willburns,images/alderpeople/4-Will-Burns.png
29,Larry,Andolino,https://www.facebook.com/pages/Larry-Andolino-for-Alderman-29th-Ward/668825769852950,,
33,Tim,Meegan,https://www.meegan4ward33.com,http://twitter.com/Meegan4ward33,images/alderpeople/33-Tim-Meegan.jpg
36,Omar,Aquino,http://omaraquino.com,http://twitter.com/OmarAquino36,images/alderpeople/36-Omar-Aquino.jpg
33,Annisa,Wanat,http://www.annisaforalderman.com/,http://twitter.com/a_wanat,images/alderpeople/33-Annisa-Wanat.jpg
37,Tara,Stamps,http://stampsfor37.com,http://twitter.com/stampstara,images/alderpeople/37-Tara-Stamps.jpg
31,Sean,Starr,http://www.seanstarr.org,http://twitter.com/SeanStarrfor31,images/alderpeople/31-Sean-Starr.jpg
7,Keiana,Barrett,http://keianabarrett.org/,http://twitter.com/keianabarrett,images/alderpeople/7-Keiana-Barrett.jpeg
27,Gabe,Beukinga,http://www.gabefor27.com/,,images/alderpeople/27-Gabe-Beukinga.jpg
35,Carlos,Rosa,http://www.carlosrosa.org/,http://twitter.com/CDRosa,images/alderpeople/35-Carlos-Rosa.jpeg
46,James,Cappleman,http://james46.org,http://twitter.com/JamesCappleman,images/alderpeople/46-James-Cappleman.jpg
50,Debra,Silverstein,http://50thwardchicago.com,,images/alderpeople/50-Debra-Silverstein.jpg
4,Norman,Bolden,http://electnormanbolden.com/,,images/alderpeople/4-Norman-Bolden.jpg
26,Adam,Corona,http://www.dicu.us/corona/,,images/alderpeople/26-Adam-Corona.jpg
49,Joe,Moore,http://joemoore.org/,http://twitter.com/JoeMoore49,images/alderpeople/49-Joe-Moore.jpg
47,Ameya,Pawar,http://www.pawar2015.com,http://twitter.com/Alderman_Pawar,images/alderpeople/47-Ameya-Pawar.jpg
44,Tom,Tunney,http://44thward.org,http://twitter.com/AldTomTunney,images/alderpeople/44-Tom-Tunney.jpg
42,Brendan,Reilly,http://www.reillyforchicago.com,,images/alderpeople/42-Brendan-Reilly.jpg
40,Patrick,O'Connor,http://aldermanoconnor.com,http://twitter.com/40thward,images/alderpeople/40-Patrick-O'Connor.gif
39,Margaret,Laurino,http://aldermanlaurino.com,,images/alderpeople/39-Margaret-Laurino.jpg
37,Emma,Mitts,http://aldermanmitts.com,http://twitter.com/EmmaMittsAld37,images/alderpeople/37-Emma-Mitts.jpg
35,Rey,Colon,http://reycolon.org,http://twitter.com/KingDove,images/alderpeople/35-Rey-Colon.jpg
34,Carrie,Austin,,,images/alderpeople/34-Carrie-Austin.png
33,Deb,Mell,http://33rdward.org,http://twitter.com/debmell,images/alderpeople/33-Deb-Mell.jpg
32,Scott,Waguespack,http://scottforchicago.com,http://twitter.com/ward32chicago,images/alderpeople/32-Scott-Waguespack.jpg
29,Deborah,Graham,https://www.facebook.com/aldermandeborah.graham/about,,images/alderpeople/29-Deborah-Graham.png
27,Walter,Burnett,http://aldermanburnett.com,,images/alderpeople/27-Walter-Burnett.jpg
25,Danny,Solis,http://ward25.com,http://twitter.com/AldermanSolis,images/alderpeople/25-Danny-Solis.jpg
23,Michael,Zalewski,http://chicago23ward.com,,images/alderpeople/23-Michael-Zalewski.jpg
22,Ricardo,Munoz,https://www.facebook.com/rick.munoz.77?fref=ts,http://twitter.com/AldermanMunoz22,images/alderpeople/22-Ricardo-Munoz.jpg
20,Willie,Cochran,http://the20thward.com,http://twitter.com/ALDERMANWBC,images/alderpeople/20-Willie-Cochran.jpg
18,Lona,Lane,http://lonalane18thward.com,http://twitter.com/lona_lane,images/alderpeople/18-Lona-Lane.jpg
16,JoAnn,Thompson,http://aldermanthompson.com,http://twitter.com/AldJThompson,images/alderpeople/16-JoAnn-Thompson.jpg
14,Ed,Burke,,,images/alderpeople/14-Ed-Burke.jpg
12,George,Cardenas,http://12thwardchicago.com,http://twitter.com/georgecardenas,images/alderpeople/12-George-Cardenas.jpg
10,John,Pope,http://johnpope.org,,images/alderpeople/10-John-Pope.jpg
8,Michelle,Harris,http://www.aldermanmichelleharris.net/,,images/alderpeople/8-Michelle-Harris.jpg
5,Leslie,Hairston,http://leslieahairston.com,http://twitter.com/5thWardChicago,images/alderpeople/5-Leslie-Hairston.jpg
3,Pat,Dowell,http://dowellfor3rdward.com,http://twitter.com/AldPatDowell3rd,images/alderpeople/3-Pat-Dowell.jpg
1,Joe,Moreno,http://aldermanmoreno.com,http://twitter.com/Alderman_Moreno,images/alderpeople/1-Joe-Moreno.jpg
6,Richard,Wooten,http://restoringvalues.com,http://twitter.com/TeamRichWooten,images/alderpeople/6-Richard-Wooten.jpeg
6,Brian,Garner,http://www.bgarnerfor6thward.com/,http://twitter.com/briangarner6th,images/alderpeople/6-Brian-Garner.jpg
16,Toni,Foulkes,http://aldermanfoulkes.com,http://twitter.com/tonifoulkes,images/alderpeople/16-Toni-Foulkes.jpg
36,Chris,Vittorio,http://www.chrisvittoriofor36.com,,images/alderpeople/36-Chris-Vittorio.jpg
4,Tracey,Bey,http://www.beyfor4thward.com/,,images/alderpeople/4-Tracey-Bey.jpg
29,Bob,Galhotra,http://www.bobgalhotrafor29.com,http://twitter.com/bobfor29,images/alderpeople/29-Bob-Galhotra.jpg
7,Natasha,Holmes,http://iam7chicago.com,http://twitter.com/Ald7Holmes,images/alderpeople/7-Natasha-Holmes.jpeg
31,Irma,Cornier,http://cornierfor31.org,http://twitter.com/IrmaCornier,images/alderpeople/31-Irma-Cornier.jpeg
30,Ariel,Reboyras,http://30thwardchicago.com,http://twitter.com/Ald_Reboyras,images/alderpeople/30-Ariel-Reboyras.jpg
1,Ronda,Locke,http://rondafor1stward.com,http://twitter.com/RondaLocke1,images/alderpeople/1-Ronda-Locke.jpeg
1,Mia,Lopez,,http://twitter.com/mialina,images/alderpeople/1-Mia-Lopez.jpg
1,Anne,Shaw,http://www.friendsforanneshaw.org/,http://twitter.com/friendsforanne,images/alderpeople/1-Anne-Shaw.jpg
1,Andrew,Hamilton,http://hamiltonfor1stward.org,http://twitter.com/Andrewfor1st,images/alderpeople/1-Andrew-Hamilton.jpeg
2,Cornell,Wilson,http://cornellwilson.com,http://twitter.com/TeamCornellW,images/alderpeople/2-Cornell-Wilson.jpeg
2,Steve,Niketopoulos,http://www.stevefor2ndward.com/,,
2,Stacey,Pfingsten,http://staceyfor2ndward.com,http://twitter.com/staceyfor2nd,images/alderpeople/2-Stacey-Pfingsten.jpeg
2,Brian,Hopkins,http://www.brianhopkinsforchicago.com/,http://twitter.com/HopkinsChicago,images/alderpeople/2-Brian-Hopkins.jpeg
2,Bita,Buenrostro,http://bitanow.com,http://twitter.com/BitaBuenrostro,images/alderpeople/2-Bita-Buenrostro.jpeg
2,Alyx,Pattison,http://alyxpattison.org/,http://twitter.com/AlyxPattison,images/alderpeople/2-Alyx-Pattison.jpeg
3,Patricia,Horton,,http://twitter.com/PatriciaHorton1,images/alderpeople/3-Patricia-Horton.jpeg
3,Clarence,Clemons,,,
4,Jeffrey,Booker,http://www.movementfornewchicago.org/home.html,,
5,Jedidiah,Brown,http://www.brownfor5thward.com,http://twitter.com/livelifefreed,images/alderpeople/5-Jedidiah-Brown.jpeg
5,Jocelyn,Hare,http://www.hareforfive.com,http://twitter.com/hareforfive,images/alderpeople/5-Jocelyn-Hare.jpeg
5,Ann Marie,Miles,http://annemariemiles.com/,http://twitter.com/annemmiles,images/alderpeople/5-Ann Marie-Miles.jpeg
5,Robin,Boyd-Clark,,,images/alderpeople/5-Robin-Boyd-Clark.jpg
5,Loretta,Lomax,,,
5,Tiffany,Brooks,http://brooksfor5thward.org/,,
